Date,Open,High,Low,Close,Volume,Adj Close
2013-04-23,57.31,57.49,56.53,57.39,1578300,57.39
2013-04-22,57.25,57.33,56.61,56.94,1262500,56.94
2013-04-19,56.52,57.31,56.47,57.15,1700100,57.15
2013-04-18,56.66,56.81,55.85,56.22,1609800,56.22
2013-04-17,57.16,57.24,56.42,56.68,1352500,56.68
2013-04-16,57.78,58.13,57.12,57.39,1634700,57.39
2013-04-15,58.12,58.24,57.29,57.44,1672900,57.44
2013-04-12,58.15,58.43,57.95,58.34,1134300,58.34
2013-04-11,58.39,58.53,58.26,58.41,1512800,58.41
2013-04-10,58.11,58.55,58.07,58.22,1550900,58.22
2013-04-09,58.40,58.46,57.84,57.96,1183400,57.96
2013-04-08,58.10,58.25,57.63,58.25,1403800,58.25
2013-04-05,58.11,58.33,57.78,58.18,2493100,58.18
2013-04-04,58.17,58.73,58.13,58.54,1813200,58.54
2013-04-03,57.71,58.75,57.71,58.02,2054200,58.02
2013-04-02,58.09,58.13,57.32,57.54,1470700,57.54
2013-04-01,58.32,58.44,57.72,57.89,1733200,57.89
2013-03-28,58.56,58.85,58.40,58.79,2139500,58.24
2013-03-27,57.68,58.52,57.42,58.41,1852100,57.86
2013-03-26,57.22,57.89,57.17,57.81,1811600,57.27
2013-03-25,57.31,57.55,56.55,56.76,5587600,56.23
